case_id,source_label,source_report_role,case_name,scenario_class,hazard_trigger,affected_setting,actor_chain,failure_modes,intervention_points,observed_outcomes,metric_candidates,simulation_modules,policy_scenarios,source_url,pdf_url
HC-MEM-011,FACT,灾害事故调查,江苏响水天嘉宜化工有限公司“3·21”特别重大爆炸事故调查报告,危化品/燃气爆炸火灾,"[""爆炸/冲击波/危化品""]","[""工厂/工地/园区"", ""危化品仓储/化工企业""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""78人"", ""missing"": """", ""injured"": ""640人"", ""direct_economic_loss"": ""198635.07万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2019tbzdsgcc/201911/t20191115_340720.shtml,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2019tbzdsgcc/201911/W020240229376281346471.pdf
HC-MEM-012,FACT,灾害事故调查,江西丰城发电厂“11·24”冷却塔施工平台坍塌特别重大事故调查报告,建筑坍塌/工地与城市空间,"[""瓦斯/矿山坍塌"", ""建筑结构失效""]","[""学校/培训机构"", ""村镇/社区"", ""工厂/工地/园区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则""]","{""deaths_or_dead_missing"": ""73人"", ""missing"": """", ""injured"": ""2人"", ""direct_economic_loss"": ""10197.2万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/201709/P020190415546100001991.pdf
HC-MEM-013,FACT,灾害事故调查,江西新余佳乐苑临街店铺“1·24”特别重大火灾事故调查报告,人员密集或脆弱机构场所,"[""火灾/烟气/逃生受阻""]","[""学校/培训机构"", ""工厂/工地/园区"", ""商住综合体/店铺/餐饮""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""registry_coverage_gap"", ""evacuation_not_decisive"", ""institution_execution_gap"", ""regulatory_enforcement_gap""]","[""脆弱群体/重点场所动态台账"", ""强制/协商转移与返家管控"", ""机构负责人预案演练和一键求援"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""39人"", ""missing"": """", ""injured"": ""9人"", ""direct_economic_loss"": ""4352.84万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""vulnerable_group_coverage_rate"", ""critical_facility_registry_coverage_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""institution_lead_execution_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202409/t20240921_501979.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202409/P020240921579004545441.pdf
HC-MEM-014,FACT,灾害事故调查,河南安阳市凯信达商贸有限公司“11·21”特别重大火灾事故调查报告,工厂/仓储/企业火灾,"[""火灾/烟气/逃生受阻""]","[""工厂/工地/园区"", ""危化品仓储/化工企业""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则""]","{""deaths_or_dead_missing"": ""42人"", ""missing"": """", ""injured"": ""2人"", ""direct_economic_loss"": ""12311万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202308/t20230829_460801.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202308/P020230829535206218353.pdf
HC-MEM-015,FACT,灾害事故调查,湖南郴州宜凤高速“6·26”特别重大道路交通事故调查报告,道路交通/通道安全,"[""火灾/烟气/逃生受阻"", ""道路交通碰撞/客运风险""]","[""医院"", ""村镇/社区"", ""高速公路/桥梁通道"", ""工厂/工地/园区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""route_or_infrastructure_failure""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""关键通道巡查、封控与备用路线""]","{""deaths_or_dead_missing"": ""35人"", ""missing"": """", ""injured"": ""13人"", ""direct_economic_loss"": ""2290万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""route_blockage_exposure_rate"", ""alternate_route_activation_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel"", ""infrastructure_route_kernel""]","[""S0"", ""S1"", ""S2"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/201701/P020220519368961986403.pdf
HC-MEM-016,FACT,灾害事故调查,湖南长沙“4·29”特别重大居民自建房倒塌事故调查报告,建筑坍塌/工地与城市空间,"[""建筑结构失效""]","[""学校/培训机构"", ""村镇/社区"", ""工厂/工地/园区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则""]","{""deaths_or_dead_missing"": ""54人"", ""missing"": """", ""injured"": ""9人"", ""direct_economic_loss"": ""9077.86万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2023dcbg_5532/202305/t20230521_451391.shtml,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2023dcbg_5532/202305/W020240229381934853466.pdf
HC-MEM-017,FACT,灾害事故调查,福建省泉州市欣佳酒店“3·7”坍塌事故调查报告,人员密集或脆弱机构场所,"[""瓦斯/矿山坍塌"", ""建筑结构失效""]","[""村镇/社区"", ""工厂/工地/园区"", ""商住综合体/店铺/餐饮""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""registry_coverage_gap"", ""evacuation_not_decisive"", ""institution_execution_gap"", ""regulatory_enforcement_gap""]","[""脆弱群体/重点场所动态台账"", ""强制/协商转移与返家管控"", ""机构负责人预案演练和一键求援"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""29人"", ""missing"": """", ""injured"": ""42人"", ""direct_economic_loss"": ""5794万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""vulnerable_group_coverage_rate"", ""critical_facility_registry_coverage_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""institution_lead_execution_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2020/202007/t20200714_357595.shtml,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2020/202007/W020240229374240397495.pdf
HC-MEM-018,FACT,灾害事故调查,重庆市永川区金山沟煤业有限责任公司“10·31”特别重大瓦斯爆炸事故调查报告,危化品/燃气爆炸火灾,"[""爆炸/冲击波/危化品"", ""瓦斯/矿山坍塌""]","[""村镇/社区"", ""工厂/工地/园区"", ""矿山""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": ""33人"", ""missing"": """", ""injured"": ""1人"", ""direct_economic_loss"": ""3682.22万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2017/201709/P020230616561664066750.pdf
HC-MEM-019,FACT,灾害事故调查,长深高速江苏无锡“9·28”特别重大道路交通事故调查报告,道路交通/通道安全,"[""道路交通碰撞/客运风险""]","[""村镇/社区"", ""高速公路/桥梁通道"", ""工厂/工地/园区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""route_or_infrastructure_failure""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""关键通道巡查、封控与备用路线""]","{""deaths_or_dead_missing"": ""36人"", ""missing"": """", ""injured"": ""36人"", ""direct_economic_loss"": ""7100万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""route_blockage_exposure_rate"", ""alternate_route_activation_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel"", ""infrastructure_route_kernel""]","[""S0"", ""S1"", ""S2"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2020/202009/t20200911_365513.shtml,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2020/202009/W020240229368623786873.pdf
HC-MEM-020,FACT,灾害事故调查,陕西安康京昆高速“8·10”特别重大道路交通事故调查报告,道路交通/通道安全,"[""桥梁/道路受洪水冲毁或垮塌"", ""道路交通碰撞/客运风险""]","[""学校/培训机构"", ""村镇/社区"", ""高速公路/桥梁通道"", ""工厂/工地/园区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""route_or_infrastructure_failure""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""关键通道巡查、封控与备用路线""]","{""deaths_or_dead_missing"": ""36人"", ""missing"": """", ""injured"": ""13人"", ""direct_economic_loss"": ""3533万元"", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""route_blockage_exposure_rate"", ""alternate_route_activation_rate""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel"", ""infrastructure_route_kernel""]","[""S0"", ""S1"", ""S2"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2018/,https://www.mem.gov.cn/gk/sgcc/tbzdsgdcbg/2018/201801/P020190415522216470646.pdf
HC-MEM-021,FACT,整改评估/制度修复,内蒙古阿拉善新井煤业有限公司露天煤矿“2·22”特别重大坍塌事故整改和防范措施落实情况评估报告,矿山事故/工矿场所,"[""瓦斯/矿山坍塌"", ""建筑结构失效""]","[""学校/培训机构"", ""高速公路/桥梁通道"", ""工厂/工地/园区"", ""矿山""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""warning_response_gap"", ""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""预警-响应联动触发阈值"", ""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""effective_lead_time_minutes"", ""response_activation_delay_minutes"", ""warning_to_action_conversion_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""warning_response_kernel"", ""review_rectification_kernel""]","[""S0"", ""S2"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202411/t20241122_512786.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202411/P020241122571274138114.pdf
HC-MEM-022,FACT,整改评估/制度修复,北京丰台长峰医院“4·18”重大火灾事故整改和防范措施落实情况评估报告,人员密集或脆弱机构场所,"[""火灾/烟气/逃生受阻""]","[""养老机构"", ""医院"", ""学校/培训机构"", ""村镇/社区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""registry_coverage_gap"", ""evacuation_not_decisive"", ""institution_execution_gap"", ""regulatory_enforcement_gap""]","[""脆弱群体/重点场所动态台账"", ""强制/协商转移与返家管控"", ""机构负责人预案演练和一键求援"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""vulnerable_group_coverage_rate"", ""critical_facility_registry_coverage_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""institution_lead_execution_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""review_rectification_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202501/t20250117_513832.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202501/P020250414560443648149.pdf
HC-MEM-023,FACT,整改评估/制度修复,国务院安委会办公室关于近5年来特别重大生产安全事故整改措施落实情况“回头看”工作情况的通报,跨案例整改复盘,"[""爆炸/冲击波/危化品"", ""瓦斯/矿山坍塌"", ""道路交通碰撞/客运风险""]","[""养老机构"", ""村镇/社区"", ""高速公路/桥梁通道"", ""工厂/工地/园区""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""防汛抗旱指挥部"", ""气象部门"", ""水利部门"", ""交通部门"", ""消防救援力量"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""evacuation_not_decisive"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""review_rectification_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202102/t20210204_379623.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202102/P020210207682842135375.pdf
HC-MEM-024,FACT,整改评估/制度修复,国务院安委会办公室关于近5年来重大生产安全事故整改措施落实情况“回头看”工作情况的通报,跨案例整改复盘,"[""火灾/烟气/逃生受阻"", ""爆炸/冲击波/危化品"", ""瓦斯/矿山坍塌""]","[""村镇/社区"", ""工厂/工地/园区"", ""矿山"", ""商住综合体/店铺/餐饮""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""evacuation_not_decisive"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""review_rectification_kernel""]","[""S0"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202102/t20210204_379624.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202102/P020210205490207095291.pdf
HC-MEM-025,FACT,整改评估/制度修复,宁夏银川富洋烧烤店“6·21”特别重大燃气爆炸事故整改和防范措施落实情况评估报告,危化品/燃气爆炸火灾,"[""爆炸/冲击波/危化品""]","[""学校/培训机构"", ""工厂/工地/园区"", ""商住综合体/店铺/餐饮""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员""]","[""evacuation_not_decisive"", ""enterprise_responsibility_gap"", ""regulatory_enforcement_gap""]","[""强制/协商转移与返家管控"", ""企业/工地停工撤人触发规则"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""worksite_shutdown_timeliness"", ""worker_evacuation_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""review_rectification_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202502/t20250214_513847.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202502/P020250414560471362847.pdf
HC-MEM-026,FACT,整改评估/制度修复,江西新余佳乐苑临街店铺“1·24”特别重大火灾事故整改和防范措施落实情况评估报告,人员密集或脆弱机构场所,"[""火灾/烟气/逃生受阻""]","[""学校/培训机构"", ""村镇/社区"", ""工厂/工地/园区"", ""商住综合体/店铺/餐饮""]","[""应急管理部门"", ""属地政府"", ""基层组织"", ""受影响群众"", ""民政/卫健/教育/商务主管部门"", ""机构负责人"", ""脆弱群体/人员密集场所人员"", ""企业负责人"", ""行业监管部门"", ""工人/作业人员"", ""街镇干部"", ""村委会/居委会"", ""网格员"", ""志愿者""]","[""registry_coverage_gap"", ""evacuation_not_decisive"", ""institution_execution_gap"", ""regulatory_enforcement_gap""]","[""脆弱群体/重点场所动态台账"", ""强制/协商转移与返家管控"", ""机构负责人预案演练和一键求援"", ""隐患排查整改闭环""]","{""deaths_or_dead_missing"": """", ""missing"": """", ""injured"": """", ""direct_economic_loss"": """", ""transfer_or_evacuation_data"": ""未稳定抽取；需人工复核转移/疏散记录"", ""extraction_note"": ""自动抽取字段，正式引用前需回到 PDF 原文核对。""}","[""casualty_rate"", ""property_loss_rate"", ""vulnerable_group_coverage_rate"", ""critical_facility_registry_coverage_rate"", ""safe_transfer_rate"", ""refusal_rate"", ""return_after_transfer_rate"", ""institution_lead_execution_rate"", ""rectification_completion_rate"", ""hidden_risk_recheck_rate"", ""public_satisfaction"", ""institutional_trust_delta""]","[""case_retrieval_rag"", ""scenario_template_generator"", ""state_machine_rule_library"", ""evacuation_kernel"", ""review_rectification_kernel""]","[""S0"", ""S3"", ""S5""]",https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202510/t20251017_561803.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202510/P020251017578407927687.pdf
